Plot,Genotype,Experiment,Total Plants,Number Lodged,Percent Lodging,Lodging Index,Lodged
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
36,CML341,55 and friends,17,3,17.64705882,0,N
41,CML341,55 and friends,14,7,50,1,Y
41,CML341,55 and friends,14,7,50,1,Y
41,CML341,55 and friends,14,7,50,1,Y
41,CML341,55 and friends,14,7,50,1,Y
41,CML341,55 and friends,14,7,50,1,Y
41,CML341,55 and friends,14,7,50,1,Y
41,CML341,55 and friends,14,7,50,1,Y
41,CML341,55 and friends,14,7,50,0,N
41,CML341,55 and friends,14,7,50,0,N
41,CML341,55 and friends,14,7,50,0,N
41,CML341,55 and friends,14,7,50,0,N
41,CML341,55 and friends,14,7,50,0,N
41,CML341,55 and friends,14,7,50,0,N
41,CML341,55 and friends,14,7,50,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
167,CML373,55 and friends,12,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
221,CML373,55 and friends,17,0,0,0,N
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
48,CML52,55 and friends,15,15,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
165,CML52,55 and friends,16,16,100,3,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
46,CML69,55 and friends,17,17,100,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,1,Y
102,CML69,55 and friends,17,16,94.11764706,0,N
4,F118,55 and friends,6,1,16.66666667,5,Y
4,F118,55 and friends,6,1,16.66666667,0,N
4,F118,55 and friends,6,1,16.66666667,0,N
4,F118,55 and friends,6,1,16.66666667,0,N
4,F118,55 and friends,6,1,16.66666667,0,N
4,F118,55 and friends,6,1,16.66666667,0,N
4,F118,55 and friends,6,1,16.66666667,0,N
198,F118,55 and friends,7,0,0,0,N
198,F118,55 and friends,7,0,0,0,N
198,F118,55 and friends,7,0,0,0,N
198,F118,55 and friends,7,0,0,0,N
198,F118,55 and friends,7,0,0,0,N
198,F118,55 and friends,7,0,0,0,N
198,F118,55 and friends,7,0,0,0,N
52,GT112,55 and friends,14,3,21.42857143,1,Y
52,GT112,55 and friends,14,3,21.42857143,1,Y
52,GT112,55 and friends,14,3,21.42857143,1,Y
52,GT112,55 and friends,14,3,21.42857143,0,N
52,GT112,55 and friends,14,3,21.42857143,0,N
