Brace.Root.Whorls.in.the.Soil,num_whorls,w1,w2,root_angle,height.cm.,stalk_width.cm,spread_width.cm,single_root_width.cm,root_heightonstalk.cm,stalk_to_rootgrounding.cm
3,1.5,15,10,44.57333065,172,2.724130483,9.372949197,0.380589249,3.376367768,3.324409357
3,2,10,20,45.02915691,172,2.545735117,9.795656319,0.335477138,3.471106529,3.624960602
1,1,13,0,29.80233519,172,1.568706012,5.868505771,0.339044383,3.757316914,2.14989988
2,2,17,0,43.07514413,172,2.055147424,10.4340692,0.43766023,4.445348042,4.189460888
2,1,22,0,35.54916859,172,2.602060973,7.04125418,0.464483978,3.094444694,2.219596605
1,1,24,0,35.39370312,172,2.747032662,10.06696886,0.503708687,5.168324506,3.659968099
2,1,14,0,54.19905581,172,1.445402098,6.85030303,0.399479389,1.940339453,2.702450466
3,1.5,16,8,42.36253596,172,2.13008575,8.748195958,0.41634495,3.921144133,3.309055105
2,1.5,8,4,48.67465547,172,2.089125372,7.537427224,0.44799185,2.602038375,2.724150927
2,2,6,13,45.08195593,172.5,2.301330046,7.239957593,0.299014601,2.461250655,2.469313774
2,1.5,15,12,51.56839942,172.5,3.00389783,10.21063718,0.383907226,2.769357464,3.603369675
3,2,20,9,38.47986127,172.5,2.357973148,9.351349146,0.360102268,4.397914871,3.496687999
2,1,18,0,49.59328777,173,2.138548875,7.269697813,0.373763455,2.176475135,2.56557447
2,2,17,2,48.5830928,173,2.101703069,13.20905732,0.439728621,4.897245931,5.553677124
2,1.5,14,7,32.98831221,173,1.61267697,5.741837843,0.388217082,3.702981033,2.064580436
1,1.5,7,2,30.74869645,173,1.479291611,4.142533094,0.209254951,2.233924921,1.331620742
2,1,14,0,33.27117004,173,2.390382362,13.06347893,0.510626775,8.055799729,5.336548282
3,2,21,7,37.90387065,174,2.534810313,7.98271676,0.406914707,3.548520424,2.723953225
1,1,15,0,48.27896551,174,2.471719862,6.447214916,0.685739444,1.808268513,1.987747528
1,1,18,0,35.49038964,174,2.308196633,4.943244477,0.427557979,1.824092043,1.317523923
2,2,19,18,44.49576606,174,1.870535243,6.556925692,0.351825305,2.487065343,2.343195225
2,1,7,0,22.09379257,174,2.181818801,9.514620488,0.472909057,9.00008791,3.666400843
2,2,12,9,47.2636254,174.5,2.62342755,9.749386054,0.381312109,3.305854413,3.562979252
3,2,18,23,35.66636758,174.5,2.743230488,10.10923467,0.337556244,5.025961113,3.683002093
2,2,13,16,48.90932467,175,2.424676096,10.8408191,0.523157474,3.607413684,4.208071503
2,1,4,0,33.03367934,175,2.67810708,7.981183837,0.439773872,4.188770258,2.65153838
2,2,13,18,43.83874919,175,1.868049104,8.542804446,0.47943855,3.446054905,3.337377671
2,1,11,0,61.93873399,175,2.060626839,7.37362555,0.520197682,1.395074639,2.656499356
2,1,14,0,27.96398446,175,1.670724088,4.863897079,0.427259821,3.001300474,1.596586496
2,1,9,0,43.36492772,175,1.910170884,7.222998912,0.283944526,2.708488187,2.656414014
3,2,13,17,41.24437514,175.5,2.090573218,7.886467242,0.332378196,3.292132236,2.897947012
3,1,9,0,55.02273447,176,2.49606929,8.618458613,0.468328041,2.169884981,3.061194661
2,1,18,0,38.68511427,176,1.656176782,4.979095978,0.527008161,2.086821851,1.661459599
2,1.5,14,5,33.82921196,176,2.001838033,6.563232614,0.477152087,3.692847415,2.280697292
2,2,11,1,31.35378289,176,2.575827015,10.00745865,0.506680451,6.058179768,3.715815817
1,1,17,0,44.12733678,176,2.123874777,4.744727628,0.344489598,1.392804805,1.310426427
2,1,17,0,37.92351258,176,1.584878872,5.475688764,0.448938136,2.453760494,1.945404947
2,1,14,0,33.57406365,176,1.834249875,6.119822769,0.327560861,3.199741416,2.142786448
1,1,15,0,39.97083934,177,2.622568285,5.601200235,0.435289773,1.778117779,1.489315974
2,2,11,11,41.33958576,177,1.337213376,5.526807438,0.458010602,2.388132897,2.094797032
1,1,13,0,35.7370933,177,1.984888789,6.463412651,0.4407827,3.101867933,2.239261931
1,1,22,0,33.53242374,177,2.667038743,5.012994335,0.505427115,1.828747676,1.172977796
3,1,22,0,45.03029411,177,2.736668906,11.77467801,0.407671095,4.438355408,4.519004554
2,1,8,0,34.71995273,177,2.293707089,11.93871579,0.522956716,6.862085976,4.82250435
3,2,10,15,37.37091002,178,1.881823262,7.594468027,0.534966029,3.77022494,2.856322382
1,1,15,0,35.47184338,178,1.748379338,4.522625567,0.529925905,1.972599159,1.387123116
1,1,19,0,39.56881254,178,2.1478462,6.668810196,0.382401277,2.703359466,2.260481999
2,2,12,16,31.81631096,178,1.767971379,6.513552911,0.429644842,3.834939042,2.372790766
2,1,18,0,25.50930456,178,1.744261035,4.203306546,0.374647389,2.622236219,1.229522757
1,1,22,0,38.93382731,178,2.343105106,5.942562067,0.415474177,2.219189504,1.799728481
2,2,7,13,43.6318879,178,1.54317703,6.246909142,0.439890493,2.457563138,2.351866057
2,1,12,0,46.71850961,178,1.764638853,5.831730747,0.505138902,1.895591775,2.033545948
3,1.5,11,1,38.41545671,178,1.881094084,5.116056331,0.5224177,2.147940629,1.617481125
1,1,12,0,42.34934673,178,2.034199305,4.911411307,0.600145535,1.559037036,1.438606001
2,1,19,0,39.66860501,178,1.479209988,5.974791073,0.449875499,2.695643296,2.247790543
3,2,24,4,31.49073513,179,2.832332098,9.333353198,0.3921963,5.270740345,3.250510551
3,2,10,14,33.54002333,179,1.939582435,7.800074783,0.568267223,4.340276805,2.930246174
3,2,9,10,27.86328322,179,1.804118172,7.301738912,0.683790559,5.191395598,2.74881037
2,1,9,0,40.37739552,179,1.693986,5.107641017,0.400019313,2.099466237,1.70682751
2,2,9,19,36.29541241,179,2.570070389,7.354211139,0.530716043,3.260506356,2.392070376
2,2,8,17,33.76097983,179,2.398727156,7.221796384,0.611887955,3.57798077,2.411534617
3,1.5,20,9,47.07000216,179,2.011540112,9.953747682,0.540968211,3.803857805,3.971103785
2,1,21,0,30.69916799,179,2.752883295,5.880850636,0.506462313,2.889746697,1.56398367
3,2,17,13,38.59103374,179,1.77662716,4.721892113,0.285658193,1.797747047,1.472632479
2,2,8,12,51.17210541,179,2.131591289,7.763549393,0.673193561,2.192704474,2.815979052
2,1,13,0,50.84485171,179,2.137448664,12.26698233,0.408402267,4.131450363,5.064766834
1,1,14,0,57.02605047,179,1.489316435,9.288047713,0.28694986,2.51837348,3.899365639
2,1,8,0,52.20052649,179,1.648771351,9.089389743,0.639700558,2.804767623,3.720309198
2,2,11,5,35.4445383,179.5,1.758291482,6.652663174,0.49943422,3.445462963,2.447185847
2,2,13,17,29.45596526,180,2.137507178,7.201952236,0.461099206,4.376765175,2.532222529
2,2,10,12,31.91602444,180,1.874511986,7.280501809,0.520749097,4.339159321,2.702994913
1,1,10,0,56.28451728,180,2.214303036,6.880611339,0.436760355,1.564159894,2.333154151
2,2,17,18,36.08658078,180,2.329289438,8.611552927,0.30736683,4.352520469,3.141131745
1,1,14,0,55.7915261,180,2.638540697,10.82071967,0.522133594,2.802192846,4.091089489
2,2,9,19,49.3032409,180,2.108174938,9.648992663,0.485566441,3.253955527,3.770408863
2,1,14,0,22.25119948,181,2.020705626,5.29285076,0.287816882,4.014673841,1.636072569
3,2,12,13,29.44608613,181,1.936583038,7.403476643,0.474982779,4.806392906,2.733446804
1,2,13,4,50.08614279,181,2.143018046,12.224394,0.469700395,4.184602771,5.040687981
2,2,17,19,38.0365755,181,2.544507487,9.34320808,0.233037921,4.312240476,3.399350297
2,1,12,0,43.70469795,181,1.850344719,7.809838721,0.481334089,3.155901242,2.979747002
2,2,16,16,36.19179882,181,2.053937,8.192249465,0.522865774,4.18343355,3.069156233
3,1,17,0,28.10337428,181,2.313778199,6.078545107,0.447266492,3.465409766,1.882383454
2,1,19,0,39.55025254,182,1.891170449,6.94617861,0.482908261,3.02021263,2.52750408
2,1,13,0,34.47999541,182,1.81904528,6.13221135,0.274176256,3.284881024,2.156583036
2,2,14,5,32.68338122,182,2.233093456,9.089594419,0.40353409,5.33566196,3.428250483
2,2,8,23,35.99547211,182,2.584201761,8.116151538,0.564852858,3.834245598,2.76597489
3,2,10,5,25.14545473,182,2.269997583,6.399253912,0.673061826,4.347892191,2.064628164
1,1,16,0,44.64891749,182,2.213847602,9.21917621,0.581819854,3.558327314,3.502664304
2,1.5,15,2,26.3686773,182,1.702428025,5.1322302,0.372865512,3.725928662,1.714901088
1,1,19,0,36.75598299,182,2.355695746,5.435743507,0.426903853,2.016714975,1.540023882
2,2,15,20,19.45456945,182,2.139432246,5.617078499,0.320025889,4.923242556,1.738823125
2,1,18,0,35.0047449,182,1.664180418,4.691673172,0.283070391,2.146946323,1.513746378
2,1.5,17,2,40.68284579,182,2.252941689,6.139613741,0.255457998,2.421098265,1.943336027
2,1,9,0,52.89431378,182,1.994788086,9.306926177,0.443329934,2.719331927,3.656069045
3,2,19,8,32.45302565,183,2.570398971,8.726280907,0.366608002,4.849134644,3.077940966
1,1,23,0,34.31773268,183,2.262286895,5.527841253,0.364737418,2.309021378,1.63277718
1,1,25,0,41.21691111,183,2.768304646,6.30289286,0.483138081,1.99351501,1.767294108
2,2,1,0,37.25869981,183,2.371389258,9.320663756,0.487263759,4.470531893,3.474637251
2,1,13,0,44.96117308,183,2.005867881,9.814438217,0.432717518,3.937105762,3.90428517
2,2,4,18,51.73153672,183,2.174313706,11.42274954,0.486823054,3.607853057,4.624217918
2,2,15,15,37.24542186,183,2.433467638,10.82246683,0.422433165,5.475490535,4.194499598
2,1.5,11,5,50.62022273,183,1.932376552,6.917260936,0.352044958,2.042736673,2.492442191
2,1.5,14,9,49.01409026,183,1.882071148,7.267282499,0.405308051,2.340972988,2.692605677
1,1,18,0,44.51199064,183,2.710081481,6.1852907,0.551550878,1.645042548,1.73760461
1,1,3,0,26.416839,183,1.870165361,5.573988728,0.350991242,3.679712333,1.851911684
2,1,10,0,42.35492765,183,1.799869913,5.663433314,0.539142929,3.021273612,1.931781702
2,1,15,0,39.32666236,183,2.060655211,7.618134477,0.383704368,3.385277928,2.778739633
2,1,11,0,47.3211432,183,1.503334684,8.552553743,0.285560047,3.23691502,3.524609529
2,1,13,0,37.56348931,183,1.923348828,6.601058192,0.462039924,3.080427459,2.338854683
2,1,14,0,24.03127086,183,1.753824219,8.017496853,0.535446869,7.028526998,3.131836318
3,2,12,15,31.06611389,184,1.859567033,6.023778867,0.538013212,3.560359786,2.082105917
2,2,13,6,26.9655327,184,2.244040351,7.964173188,0.308793378,5.644419228,2.860066419
1,2,12,0,37.76932188,184,2.351023139,8.567114844,0.50664871,3.99072282,3.108045854
3,2.5,9,22,28.70405795,184,2.557821293,7.701194425,0.611596016,5.819941388,2.571686566
2,1,15,0,35.58335346,184,2.254431384,5.684541247,0.590077199,2.413951311,1.715054932
1,1,6,0,53.34157122,184,1.461172196,5.93032995,0.412054872,1.666069165,2.234578879
2,1,22,0,36.07633375,185,2.242968044,5.005321513,0.421019555,1.908659327,1.381176736
1,1,23,0,37.27476723,185,1.921434051,4.717176364,0.432536293,1.835986856,1.397871157
1,1,28,0,44.56913278,185,2.571351184,6.517021149,0.468463168,1.967138841,1.972834984
3,1.5,15,7,47.37452668,185,2.148081071,8.634814579,0.527179017,2.978233712,3.243366753
2,1.5,18,7,46.90061361,185,2.009438143,8.466691822,0.29943563,3.192828453,3.228626841
1,1,10,0,49.50073052,185,1.540111151,5.17830563,0.343742119,1.549637714,1.819097239
3,1.5,15,2,27.10957082,185,2.372155454,6.948098677,0.782924575,4.668987764,2.287971612
2,1,13,0,53.02528835,185,2.395685666,7.650681861,0.380296116,1.780866479,2.627498099
3,1.5,11,3,48.53026306,185,1.862228109,6.255233893,0.429367575,1.849733458,2.196502893
1,1,9,0,21.16159849,185,1.880186334,6.144609593,0.336341142,5.539877047,2.13221163
3,1,8,0,29.84334585,185,2.050142516,7.793441172,0.575896528,4.953626939,2.871649329
3,1,14,0,47.38907887,185,1.357579477,5.671706665,0.358872727,1.979095223,2.157063595
3,2,11,15,26.90321009,186,1.813751115,8.22323983,0.594461961,6.30273962,3.204744359
2,2,11,15,31.24784829,186,1.668009902,7.572822711,0.573179063,4.844801867,2.952406404
1,1,24,0,31.76890366,186,2.156418644,4.984082762,0.359295062,2.269970075,1.413832058
1,1,27,0,40.05327551,186,2.469727547,5.698261057,0.437628816,1.897899982,1.614266757
2,1.5,17,10,42.31392898,186,2.186749216,7.37252031,0.56059745,2.82572747,2.592885548
2,1.5,13,9,33.11970519,186,2.340445677,6.613783094,0.687311825,3.285661479,2.136668709
1,1,14,0,39.08680595,186,1.386816823,6.329080001,0.378737434,3.446760856,2.471131589
2,1,8,0,39.17960064,186,2.182778665,11.2985924,0.357529844,5.568392093,4.55790687
2,2,14,7,34.53369716,187,1.858139507,5.023856414,0.760544143,2.274335205,1.582858455
2,1,18,0,32.90504343,187,2.226696768,7.060873668,0.465644649,3.771105717,2.417088451
2,2,13,16,34.71711215,187,1.82558687,6.696838539,0.512164407,3.510458391,2.435625837
2,2,15,14,38.06589467,187,1.8937194,10.52676227,0.385932081,5.484740365,4.316521434
1,1,17,0,37.51694909,187,1.423831435,3.374991332,0.440487586,1.236572164,0.975579949
1,2,2,8,41.68816975,187,1.55195367,5.711827512,0.421603556,2.313193514,2.079936922
2,2,14,6,26.87863235,187,1.985671175,8.027846421,0.353800734,5.931375057,3.021087624
2,1,16,0,36.88461191,187,1.737010753,5.388586094,0.738937101,2.380618682,1.82578767
2,1.5,12,7,26.75064612,187,2.649724993,5.80716885,0.634503759,3.212305078,1.57872193
2,2,9,11,29.43107706,187,2.623712698,7.461061809,0.631778682,4.281761285,2.418674556
2,1.5,15,9,38.9141256,187,2.443863484,7.828607988,0.677666241,3.318652688,2.692372253
2,2,13,11,31.04354731,187,1.99101296,6.243859097,0.468391679,3.536108085,2.12642307
2,1.5,10,7,44.02135372,187,2.287920542,6.056619865,0.544648409,1.917537807,1.884349663
1,1,20,0,16.9780285,187,2.529845568,4.030634568,0.392198169,0.939791163,0.750394501
1,1,13,0,41.06045603,187,1.557076746,5.513976369,0.307717384,2.271497959,1.978449812
2,1,13,0,42.02279905,187,2.191433885,10.10906843,0.40868606,4.795821583,3.958817273
3,1.5,12,1,43.21164231,188,1.981294917,7.376849176,0.639004691,2.977021449,2.697777132
1,1,30,0,39.47038206,188,2.227796126,4.361016046,0.366881162,1.290412729,1.066609961
1,1,22,0,33.52703121,188,2.215812828,4.767649342,0.408615613,1.950759872,1.275918258
2,1,17,0,54.66568084,188,2.550565315,10.11817843,0.351283622,2.622750844,3.78380656
2,1.5,13,7,46.13477293,188,1.806259707,8.423000055,0.544522298,3.148953879,3.308370175
2,2,7,16,39.63626462,188,1.774808305,6.648728039,0.376328921,2.891123225,2.43695987
2,1.5,16,6,35.95166488,188,1.662905676,4.944413098,0.431436988,2.261721707,1.640753712
2,1,16,0,27.90435219,188,1.707495729,4.035579064,0.495227008,2.223016816,1.164041669
2,1,14,0,38.38940173,188,1.942100429,5.568267736,0.522301469,2.246107389,1.813083653
2,1,14,0,50.87006463,188,2.880008378,10.2324931,0.402978697,2.703188556,3.676242364
2,1,21,0,49.30155952,188,2.5871413,12.48508435,0.350198783,4.22422423,4.948971527
2,1,11,0,30.50493692,188,2.03554712,7.52680694,0.625921121,4.605278402,2.745629913
2,1,14,0,48.33317455,188,1.746355059,7.190851884,0.48225272,2.4464372,2.722248414
2,1,9,0,52.28600684,188,1.697007924,8.456075882,0.412944979,2.7101252,3.37953398
2,1.5,10,8,30.1789058,188.5,3.027414352,6.155443765,0.388584585,2.673569415,1.564014707
1,1,13,0,49.40970441,189,1.938303342,5.345744795,0.739271371,1.459432523,1.703720728
2,1,18,0,31.52069177,189,2.242118226,5.214598778,0.517427552,2.49170268,1.486240277
3,2,11,19,32.01448757,189,2.4226496,8.791273753,0.40113429,5.084577171,3.184312078
1,1,13,0,41.4490034,189,2.131378468,6.356675105,0.373115614,2.364256455,2.11264832
2,1,15,0,50.85776717,189,2.443871414,6.544766278,0.354400792,1.623193026,2.050447433
2,1,13,0,52.33920143,189,1.656371656,5.555562574,0.336176316,1.43697437,1.949595461
2,1,14,0,51.54742314,189,0.870898492,5.137083935,1.167268612,1.171608861,2.133092723
2,1,26,0,37.07128278,189,2.701342708,8.897479035,0.335402682,4.104059002,3.098068164
2,1,26,0,40.69016942,189,2.780630258,10.21883148,0.356964266,4.310662174,3.719100611
1,1,20,0,38.14118831,189,1.322305334,5.605028117,0.312431255,4.251249822,2.141361393
2,1,11,0,52.27239635,189,2.102028989,8.552616105,0.485003795,3.026282298,3.22529356
2,1,9,0,43.18472175,189,1.798447396,10.16629951,0.410201322,4.512751272,4.183926058
2,2,14,6,45.30758772,190,2.963111833,9.304984217,0.667375094,3.134991609,3.170936193
2,1,17,0,28.76843653,190,2.043271542,5.101131093,0.5598373,2.816720802,1.528929776
2,0.5,6,0,46.98851827,190,2.044626025,13.13798158,0.480643763,4.671939182,5.546677778
2,1.5,15,10,25.88707576,190,1.873796992,5.251754663,0.460885356,3.481569609,1.688978836
1,2,1,6,37.70352105,190,2.193800024,5.788667821,0.309343767,2.282906625,1.797433901
2,2,8,22,53.38496268,190,1.84179038,8.883299307,0.460493254,2.60577309,3.520754465
1,1.5,16,1,55.31409723,190,2.194931993,7.40222391,0.574442968,1.792148813,2.60364596
1,1,8,0,15.65602288,190,2.278009795,9.313389867,0.421860165,12.68124005,3.517690036
1,1,13,0,26.8920747,190,2.556636883,9.456071763,0.510278305,6.732385423,3.449717441
1,1,10,0,37.27397837,190,1.941914485,8.665743222,0.618369394,5.050215996,3.361914368
2,1,30,0,38.8579642,191,2.673559319,8.067023846,0.484327509,3.327157492,2.696732265
2,1.5,15,6,36.92429587,191,1.928758926,6.101439428,0.373409628,2.722419268,2.086340252
1,2,9,0,23.34218168,191,1.839160533,6.271963034,0.505435817,5.115285404,2.216401252
1,1,10,0,29.76796098,191,1.716240964,4.247646788,0.636993607,2.172659616,1.265702913
2,1,15,0,43.63536827,191,2.537377493,6.912829024,0.451030075,2.26002022,2.187725764
2,1,11,0,42.8829903,191,1.487917586,4.737175964,0.304151109,1.733572948,1.62462919
2,2,17,14,22.7417483,192,2.454759751,7.600023982,0.344154093,6.158137343,2.572632117
1,1,5,0,46.61005823,192,1.982322578,5.226617936,0.555101705,1.553285054,1.622147679
2,2,12,5,40.76215385,192,2.199648735,8.553737144,0.6357965,3.675370603,3.177044205
1,1,13,0,44.04119288,192,2.29232616,6.754918659,0.982623492,2.25196731,2.231296252
2,1,17,0,41.28078694,192,2.07322867,7.17629404,0.479880679,2.763792769,2.551532686
2,1.5,11,3,44.66161325,192,2.117879216,6.205061755,0.561743174,2.233587303,2.043591271
1,2,17,0,18.03184205,192,1.962371638,7.494797248,0.511303309,8.542484467,2.766212805
2,1.5,20,12,22.67112559,192,2.861963369,6.918395632,0.582982569,4.880561044,2.028216133
2,2,11,6,23.99171241,192,2.742971123,7.099383477,0.553519637,4.866478808,2.178206178
2,2,15,5,25.38146813,192,1.639262182,5.541494416,0.428654314,4.124694913,1.951116118
1,1,13,0,39.66764062,192,1.766973416,4.988212774,0.444942012,1.9330773,1.610619681
1,1,21,0,43.87510933,192,2.661533989,6.807955818,0.285262876,2.129647225,2.073210915
2,2,16,13,50.38577169,192,1.984236872,9.072427042,0.421440367,2.943804388,3.544095086
2,1,8,0,24.05407145,192,1.765021776,8.20520981,0.425355861,7.141966569,3.220094016
2,1,16,0,23.99073058,192,1.924687736,9.1820857,0.271847473,8.130179384,3.628698982
2,1,16,0,27.11923203,192,1.48440124,9.542131731,0.451935221,8.016676843,4.028865247
2,1.5,8,3,47.0670116,193,2.060495348,7.314268516,0.77013576,2.524504877,2.626886585
3,2,11,9,38.92810939,193,2.436627908,8.990910855,0.479865914,4.372745018,3.277141473
3,1,13,0,52.43703238,193,2.443688298,8.749089863,0.520450423,2.427604783,3.152700784
3,2,12,15,32.42100707,193,2.156393731,8.078131837,0.42024254,4.613112397,2.960869054
2,1,15,0,47.89550899,193,2.137536807,6.553010854,0.469676795,1.988950635,2.207737025
1,2,11,0,27.42987314,193,2.166087766,8.300545797,0.641719948,5.902157881,3.067229015
2,1.5,15,1,31.45732133,193,1.807975759,7.182414942,0.380737781,4.409477542,2.687219591
2,1,11,0,30.26377823,193,2.329271346,6.355377332,0.786339083,3.294143752,2.013052993
3,2,12,6,36.24228511,193,1.452465134,3.839002172,0.500310417,1.539163235,1.193268519
1,1,17,0,41.99503058,193,2.894889902,6.25772688,0.42950207,1.870583169,1.681418489
1,1,18,0,33.32046072,193,2.343355014,5.073375271,0.359118882,2.058650527,1.36501013
2,3,13,7,51.30540879,193,2.262823437,10.43015655,0.501326329,3.307994211,4.083666558
2,1,17,0,47.17637633,193,1.764245628,3.999894875,0.419611303,1.113225353,1.117824625
2,1,15,0,36.21234296,193,2.133000725,5.678510713,0.541602976,2.438240134,1.772754995
2,1,29,0,39.20471754,193,2.549516849,8.059846164,0.277206812,3.264460283,2.755164657
2,2,18,17,32.34808768,193,2.817656366,9.807089982,0.315195707,5.407475745,3.494716808
2,1.5,17,11,38.21601691,193,3.140062399,10.80918602,0.422550425,4.915073877,3.834561811
1,1,11,0,22.98278803,193,1.54689158,5.886710789,0.484253207,5.202368723,2.169909606
1,1,12,0,33.4926051,193,1.849420256,6.309158339,0.495172082,3.952237554,2.229869043
