Accession,Ratio..None.All....IMU,Percent.Lodging,Brace.Root.Whorls.in.the.Soil,num_whorls,w1,w2,w3,root_angle,height.cm.,stalk_width.cm,spread_width.cm,single_root_width.cm,root_heightonstalk.cm,stalk_to_rootgrounding.cm,Ratio..None.All....IMU_2019
Oh7B,0.784888677428571,94.7368421057895,1.33333333333333,1.33333333333333,10.6666666666667,1.22222222222222,0,36.9861670666944,246,2.02945509892889,6.16384315954667,0.545385433371111,2.90276283450167,2.06719403066167,0.844060512222222
P39,0.7331174775,71.4285714285714,1,1,4,0,0,23.128674755,139,2.40895754047,8.29794131112,0.42419586103,6.782893158215,2.944491885325,0.81483424
PHB47,0.61120945516129,36.0000000002,1,1.28125,15.1875,0.875,0,39.40022443625,215.75,1.93993352979625,5.52014542471438,0.4908857178075,2.40891974364281,1.79010594718125,0.590883545
PHHB4,0.490392176,0,1.95238095238095,2,7.57142857142857,3.76190476190476,0,38.2409683503571,231.857142857143,1.89328510531476,8.51732739501952,0.537639337893333,4.79380892301286,3.31202114503381,0.454153130952381
PHK46,0.555638616388889,0,2.4375,1.4375,16.25,5.6875,0,46.46177243375,209.9375,1.97834202748062,11.3316879505456,0.433114131785625,4.42828622596,4.67667296169125,0.5476488575
PHR58,0.53791577483871,0,1.88888888888889,1.47222222222222,10,5.55555555555556,0,53.3760830723056,243.972222222222,2.18606114941667,10.2057041623239,0.538112064419444,2.60444325083694,4.00982150641833,0.516006158888889
PHT60,0.713672757058823,7.14285714428572,2,1.3125,13.2916666666667,2.58333333333333,0,34.3345459369792,192.458333333333,1.79051508762958,5.79902388283667,0.360326992493333,2.99540363961,2.00425439776229,0.692201619166667
R78,0.59442981030303,43.3333333346667,2.05263157894737,1.39473684210526,12.3157894736842,4.94736842105263,0,38.7084117584211,186.578947368421,2.34725432744632,6.64448854775421,0.580638021842632,2.72723850598158,2.14861711032105,0.548501251052632
R84,0.611979100833333,51.7241379331034,1.73913043478261,1.32608695652174,12.7826086956522,2.95652173913043,0,37.3048009497826,200.978260869565,2.06157305379565,6.25363853012435,0.54976815392087,2.86626305822674,2.09603273838522,0.605591297391304
SA24,0.844028296333333,100,1.0952380952381,1,22.1904761904762,0,0,37.0757928059524,184.714285714286,2.44498788279286,5.80119677869286,0.419021184344286,2.13932395688667,1.67810444807095,0.871708557619048
Shoe Peg,0.5458029436,29.16666666375,2.375,2,16.625,13.5,0.25,48.679061033125,213.5,2.059208869255,9.8629280335025,0.47006084153125,3.41665781122875,3.90185958204438,0.5801821225
Tx303,0.596438673225806,61.2903225806452,1.52380952380952,1.26190476190476,11.3333333333333,3.14285714285714,0.142857142857143,44.6051178886071,248.119047619048,1.79228616807238,8.01613327827143,0.437384290753333,3.48088361685619,3.11192355534143,0.585571767142857
Tzi8,0.713726814428571,100,2.08823529411765,1.54411764705882,11.1764705882353,1.85294117647059,0,36.5498951889706,230.588235294118,1.93552747536412,8.25387123740971,0.578573263356471,5.31895237621956,3.15917188117221,0.669144878235294
Tzi9,0.639053889142857,100,1.75,1.2,12.4,2.1,0,30.75655400855,252.75,2.080230595944,6.026440321746,0.5751721415635,3.45426682167225,1.97310486312325,0.6171461025
W64A,0.617268085714286,3.44827586206897,2.35135135135135,1.48648648648649,13.1621621621622,5.94594594594595,0,37.5880793995946,177.5,1.74072925010405,6.17233107244378,0.471550145187027,3.03026852088203,2.21580091127284,0.589794195945946
