Accession,susceptibility_avg,susceptibility_avg_category2,PLOT.ID,PlantNumber,NumWhorls,cat
PHK46,0,low,S139,Plant4,1.5,GR
PHK46,0,low,S207,Plant4,1,GR
PHK46,0,low,S207,Plant5,1,GR
PHR58,0,low,S14,Plant1,2,GR
PHR58,0,low,S14,Plant3,2,GR
PHR58,0,low,S14,Plant7,2,GR
PHR58,0,low,S14,Plant5,1,GR
PHR58,0,low,S14,Plant11,2,GR
PHR58,0,low,S14,Plant6,1,GR
PHR58,0,low,S38,Plant4,2,GR
PHR58,0,low,S38,Plant7,1,GR
PHR58,0,low,S14,Plant12,2,GR
PHR58,0,low,S38,Plant1,2,GR
PHR58,0,low,S38,Plant8,2.5,GR
PHR58,0,low,S14,Plant10,2,GR
PHR58,0,low,S14,Plant8,2,GR
PHR58,0,low,S38,Plant5,2,GR
PHR58,0,low,S14,Plant9,1,GR
PHR58,0,low,S38,Plant6,2,GR
PHR58,0,low,S14,Plant2,2,GR
PHR58,0,low,S38,Plant2,1,GR
PHR58,0,low,S38,Plant10,3,GR
PHR58,0,low,S14,Plant4,1,GR
PHR58,0,low,S38,Plant9,3,GR
PHR58,0,low,S14,Plant13,2,GR
PHR58,0,low,S38,Plant3,2,GR
2369,22.915,low,S67,Plant1,2,Variable
2369,22.915,low,S67,Plant2,2,Variable
2369,22.915,low,S67,Plant5,1,Variable
2369,22.915,low,S67,Plant6,2,Variable
2369,22.915,low,S67,Plant3,2,Variable
2369,22.915,low,S35,Plant3,2,Variable
2369,22.915,low,S35,Plant2,2,Variable
2369,22.915,low,S35,Plant1,2.5,Variable
2369,22.915,low,S35,Plant8,2,Variable
2369,22.915,low,S35,Plant10,2,Variable
2369,22.915,low,S67,Plant4,1,Variable
2369,22.915,low,S35,Plant4,2,Variable
2369,22.915,low,S35,Plant9,2,Variable
2369,22.915,low,S35,Plant6,2,Variable
2369,22.915,low,S35,Plant11,3,Variable
2369,22.915,low,S35,Plant5,2,Variable
2369,22.915,low,S35,Plant7,3,Variable
CML10,100,high,S51,Plant1,1,Variable
CML10,100,high,S51,Plant2,1,Variable
CML10,100,high,S44,Plant10,1,Variable
CML10,100,high,S44,Plant11,2,Variable
CML10,100,high,S51,Plant3,0,Variable
CML10,100,high,S44,Plant5,1,Variable
CML10,100,high,S44,Plant2,1,Variable
CML10,100,high,S44,Plant9,1,Variable
CML10,100,high,S44,Plant1,1,Variable
CML10,100,high,S44,Plant3,1,Variable
CML10,100,high,S51,Plant4,1,Variable
CML10,100,high,S44,Plant4,1,Variable
CML10,100,high,S44,Plant12,1,Variable
CML10,100,high,S51,Plant5,1,Variable
CML10,100,high,S44,Plant7,1,Variable
CML10,100,high,S44,Plant8,1,Variable
CML10,100,high,S44,Plant6,1,Variable
CML341,33.825,average,S36,Plant7,2,Variable
CML341,33.825,average,S36,Plant14,2,Variable
CML341,33.825,average,S41,Plant2,1,Variable
CML341,33.825,average,S36,Plant9,2,Variable
CML341,33.825,average,S36,Plant15,2,Variable
CML341,33.825,average,S41,Plant9,1,Variable
CML341,33.825,average,S36,Plant13,1.5,Variable
CML341,33.825,average,S36,Plant10,2,Variable
CML341,33.825,average,S41,Plant10,2,Variable
CML341,33.825,average,S36,Plant5,1,Variable
CML341,33.825,average,S36,Plant8,2,Variable
CML341,33.825,average,S36,Plant4,2,Variable
CML341,33.825,average,S41,Plant5,1,Variable
CML341,33.825,average,S36,Plant12,3,Variable
CML341,33.825,average,S36,Plant11,2,Variable
CML341,33.825,average,S41,Plant4,1,Variable
CML341,33.825,average,S41,Plant7,1,Variable
CML341,33.825,average,S41,Plant3,2,Variable
CML341,33.825,average,S36,Plant6,1,Variable
CML341,33.825,average,S41,Plant1,1.5,Variable
CML341,33.825,average,S41,Plant8,1,Variable
CML341,33.825,average,S41,Plant6,1,Variable
CML341,33.825,average,S36,Plant3,1,Variable
CML341,33.825,average,S36,Plant1,3,Variable
CML341,33.825,average,S36,Plant2,2,Variable
CML52,100,high,S165,Plant5,0,Variable
CML52,100,high,S48,Plant1,0,Variable
CML52,100,high,S165,Plant9,0,Variable
CML52,100,high,S48,Plant7,0,Variable
CML52,100,high,S48,Plant2,0,Variable
CML52,100,high,S165,Plant7,0,Variable
CML52,100,high,S48,Plant10,0,Variable
CML52,100,high,S165,Plant8,0,Variable
CML52,100,high,S48,Plant12,0,Variable
CML52,100,high,S48,Plant11,1,Variable
CML52,100,high,S48,Plant6,0,Variable
CML52,100,high,S165,Plant2,0,Variable
CML52,100,high,S165,Plant3,1,Variable
CML52,100,high,S165,Plant4,1,Variable
CML52,100,high,S48,Plant3,1,Variable
CML52,100,high,S48,Plant8,0,Variable
CML52,100,high,S165,Plant1,1,Variable
CML52,100,high,S48,Plant9,0,Variable
CML52,100,high,S48,Plant5,0,Variable
