Group,ModelNumber,Predictor,LevelOfImportance,Outcome
Even,Model8,brace_root_whorls_in_the_soil,3,Susceptibility
Even,Model8,w2,4,Susceptibility
Even,Model8,spread_width_cm,5,Susceptibility
Even,Model8,stalk_to_rootgrounding_cm,6,Susceptibility
Even,Model8,single_root_width_cm,7,Susceptibility
Even,Model8,w1,8,Susceptibility
Even,Model8,root_angle,9,Susceptibility
Even,Model8,root_heightonstalk_cm,10,Susceptibility
Even,Model8,ratio_none_all_imu,11,Susceptibility
Even,Model8,stalk_width_cm,12,Susceptibility
Even,Model8,flexural_rigidity_ei_imu,13,Susceptibility
Odd,Model9,w3,1,Severity
Odd,Model9,num_whorls,2,Severity
Odd,Model9,w2,3,Severity
Odd,Model9,brace_root_whorls_in_the_soil,4,Severity
Odd,Model9,spread_width_cm,5,Severity
Odd,Model9,w1,6,Severity
Odd,Model9,stalk_to_rootgrounding_cm,7,Severity
Odd,Model9,root_angle,8,Severity
Odd,Model9,stalk_width_cm,9,Severity
Odd,Model9,root_heightonstalk_cm,10,Severity
Odd,Model9,single_root_width_cm,11,Severity
Odd,Model9,height_cm,12,Severity
